id;article;name;size_type;size_grid_name;product_type_name;description;patterns_path;constructor_name;patterns_created_on;default_routing_code;assembly_variant_ids;routing_template_ids;photo_paths;photo_urls;status;created_at;updated_at
1;106.1.1;Волейбольная ф-ка, О-обр;men;Мужская (Mosmade);Футболка;Волейбольная ф-ка, О-обр, Базовая модель, без вставок;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
2;106.1.2;Волейбольная ф-ка, О-обр;men;Мужская (Mosmade);Футболка;Волейбольная ф-ка, О-обр,  Модель с плечевыми вставками и манжетом рукава;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
3;106.1.3;Волейбольная ф-ка, О-обр;men;Мужская (Mosmade);Футболка;Волейбольная ф-ка, О-обр, Модель с узкими боковыми вставками и плечевыми вставками;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
4;106.1.4;Волейбольная ф-ка, О-обр;men;Мужская (Mosmade);Футболка;Волейбольная ф-ка, О-обр, Модель с широкими боковыми вставками ;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
5;106.1.5;Волейбольная ф-ка, О-обр;men;Мужская (Mosmade);Футболка;Волейбольная ф-ка, О-обр, Модель с широкими боковыми вставками и плечевыми вставками;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
6;107.1.3.1;Волейбольная ф-ка, V-обр;men;Мужская (Mosmade);Футболка;Волейбольная ф-ка, V-обр, короткий цельный рукав, отрезной кокетка и боковая вставка ;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
7;107.1.1;Волейбольная ф-ка, V-обр;men;Мужская (Mosmade);Футболка;Волейбольная ф-ка, Мужская V-обр, короткий рукав с манжетом;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
8;107.1.2;Волейбольная ф-ка, V-обр;men;Мужская (Mosmade);Футболка;Волейбольная ф-ка, V-обр, короткий рукав с манжетом, отрезная кокетка;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
9;107.2.1;Волейбольная ф-ка, V-обр;women;Женский (Mosmade);Футболка;V-обр цельная, рукав втачной «крылышко»;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
10;107.2.2;Волейбольная ф-ка, V-обр;women;Женский (Mosmade);Футболка;V-обр с бок. вставкой, рукав втачной «крылышко»;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
11;107.5;Волейбольная ф-ка, О-обр;women;Женский (Mosmade);Футболка;O-обр с боковой вставкой с отрезными плечами ;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
12;222.1;Волейбольная ф-ка, U-обр;women;Женский (Mosmade);Футболка;Волейбольная ф-ка, U-обр, кор. рукав, прямая бок. вставка. ;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
13;222.2;Волейбольная ф-ка, О-обр;women;Женский (Mosmade);Футболка;Волейбольная ф-ка, О-обр, кор. рукав, прямая бок. вставка. ;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
14;222.3;Волейбольная ф-ка, V-обр;women;Женский (Mosmade);Футболка;Волейбольная ф-ка, V-обр, кор. рукав, фигурная бок. вставка. ;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
15;222.4;Волейбольная ф-ка, V-обр;women;Женский (Mosmade);Футболка;Волейбольная ф-ка, V-обр, кор. рукав, фигурная, стачная бок. вставка. ;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
16;115.1.1;Майка;women;Женский (Mosmade);Майка;Майка женская V-обр, с боковой вставкой манжетом;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
17;115.1.2;Майка;women;Женский (Mosmade);Майка;Майка женская U-обр, с боковой вставкой манжетом;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
18;115.1.3;Майка;women;Женский (Mosmade);Майка;Майка женская O-обр, с боковой вставкой манжетом;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
19;182.1;Майка;men;Мужская (Mosmade);Майка;Майка баскетбольная, V-обр цельная;;;;;1|2;1|2;D:\Projects\sport-leads\backend\storage\product-model-media\1\c122f91fd413441eb1e1f09adadf9b3a-SF0001_02.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\c16d97eb0c404387b3785d4563cad19e-SF0001_03.jpg|D:\Projects\sport-leads\backend\storage\product-model-media\1\e9203a422bbc4adba55a5029b17ce38a-SF0001_04.jpg;/product-models/1/media/1/content|/product-models/1/media/2/content|/product-models/1/media/3/content;active;2026-07-22T13:55:39.765125+02:00;2026-07-26T15:49:32.347426+02:00
